Holding Weeks,Model Precision,Expected Monthly Profit [€],Expected Profit per Trade [€]
1,0.0,-131.51,-30.35
1,0.05,-117.0,-27.0
1,0.1,-103.55,-23.9
1,0.15,-89.91,-20.75
1,0.2,-75.49,-17.42
1,0.25,-61.94,-14.29
1,0.3,-49.44,-11.41
1,0.35,-37.89,-8.74
1,0.4,-22.77,-5.25
1,0.45,-7.87,-1.82
1,0.5,0.89,0.2
1,0.55,15.64,3.61
1,0.6,26.11,6.03
1,0.65,41.4,9.55
1,0.7,53.84,12.43
1,0.75,66.8,15.41
1,0.8,77.71,17.93
1,0.85,90.07,20.79
1,0.9,101.06,23.32
1,0.95,115.27,26.6
1,1.0,125.53,28.97
2,0.0,-92.68,-42.77
2,0.05,-81.2,-37.48
2,0.1,-71.56,-33.03
2,0.15,-60.18,-27.78
2,0.2,-51.65,-23.84
2,0.25,-42.18,-19.47
2,0.3,-32.55,-15.02
2,0.35,-17.9,-8.26
2,0.4,-11.15,-5.15
2,0.45,-3.33,-1.54
2,0.5,5.56,2.56
2,0.55,14.31,6.61
2,0.6,23.36,10.78
2,0.65,33.32,15.38
2,0.7,42.19,19.47
2,0.75,47.46,21.9
2,0.8,55.41,25.58
2,0.85,65.51,30.24
2,0.9,73.63,33.98
2,0.95,81.35,37.55
2,1.0,89.65,41.38
3,0.0,-75.93,-52.56
3,0.05,-68.01,-47.09
3,0.1,-58.27,-40.34
3,0.15,-49.48,-34.26
3,0.2,-40.48,-28.02
3,0.25,-34.73,-24.04
3,0.3,-25.58,-17.71
3,0.35,-19.02,-13.17
3,0.4,-9.33,-6.46
3,0.45,-2.13,-1.47
3,0.5,8.4,5.82
3,0.55,15.6,10.8
3,0.6,21.13,14.63
3,0.65,28.56,19.77
3,0.7,36.79,25.47
3,0.75,43.98,30.45
3,0.8,48.93,33.87
3,0.85,53.29,36.9
3,0.9,60.57,41.93
3,0.95,69.34,48.0
3,1.0,75.31,52.13
4,0.0,-64.48,-59.52
4,0.05,-55.77,-51.48
4,0.1,-50.16,-46.3
4,0.15,-43.13,-39.82
4,0.2,-33.55,-30.97
4,0.25,-25.87,-23.88
4,0.3,-21.5,-19.84
4,0.35,-14.27,-13.18
4,0.4,-4.69,-4.33
4,0.45,-0.58,-0.54
4,0.5,5.42,5.0
4,0.55,10.18,9.4
4,0.6,17.9,16.53
4,0.65,25.16,23.23
4,0.7,29.34,27.08
4,0.75,37.85,34.94
4,0.8,44.26,40.85
4,0.85,48.41,44.69
4,0.9,54.36,50.18
4,0.95,60.19,55.56
4,1.0,65.84,60.77
