ISIN,Date,Price,Model
AT0000999982,2023-09-25,3160.25,prod_arima
AT0000999982,2023-09-26,3161.58,prod_arima
AT0000999982,2023-09-27,3162.92,prod_arima
AT0000999982,2023-09-28,3164.26,prod_arima
AT0000999982,2023-09-29,3165.6,prod_arima
AT0000999982,2023-10-02,3166.94,prod_arima
AT0000999982,2023-10-03,3168.28,prod_arima
AT0000999982,2023-10-04,3169.62,prod_arima
AT0000999982,2023-10-05,3170.97,prod_arima
AT0000999982,2023-10-06,3172.31,prod_arima
AT0000743059,2023-09-25,45.23,prod_arima
AT0000743059,2023-09-26,45.25,prod_arima
AT0000743059,2023-09-27,45.28,prod_arima
AT0000743059,2023-09-28,45.3,prod_arima
AT0000743059,2023-09-29,45.33,prod_arima
AT0000743059,2023-10-02,45.36,prod_arima
AT0000743059,2023-10-03,45.38,prod_arima
AT0000743059,2023-10-04,45.41,prod_arima
AT0000743059,2023-10-05,45.43,prod_arima
AT0000743059,2023-10-06,45.46,prod_arima
AT0000937503,2023-09-25,26.07,prod_arima
AT0000937503,2023-09-26,26.01,prod_arima
AT0000937503,2023-09-27,25.96,prod_arima
AT0000937503,2023-09-28,25.9,prod_arima
AT0000937503,2023-09-29,25.85,prod_arima
AT0000937503,2023-10-02,25.8,prod_arima
AT0000937503,2023-10-03,25.74,prod_arima
AT0000937503,2023-10-04,25.69,prod_arima
AT0000937503,2023-10-05,25.64,prod_arima
AT0000937503,2023-10-06,25.58,prod_arima
AT0000652011,2023-09-25,32.49,prod_arima
AT0000652011,2023-09-26,32.53,prod_arima
AT0000652011,2023-09-27,32.56,prod_arima
AT0000652011,2023-09-28,32.6,prod_arima
AT0000652011,2023-09-29,32.63,prod_arima
AT0000652011,2023-10-02,32.66,prod_arima
AT0000652011,2023-10-03,32.7,prod_arima
AT0000652011,2023-10-04,32.73,prod_arima
AT0000652011,2023-10-05,32.77,prod_arima
AT0000652011,2023-10-06,32.8,prod_arima
AT0000746409,2023-09-25,79.17,prod_arima
AT0000746409,2023-09-26,79.14,prod_arima
AT0000746409,2023-09-27,79.11,prod_arima
AT0000746409,2023-09-28,79.08,prod_arima
AT0000746409,2023-09-29,79.05,prod_arima
AT0000746409,2023-10-02,79.02,prod_arima
AT0000746409,2023-10-03,78.99,prod_arima
AT0000746409,2023-10-04,78.97,prod_arima
AT0000746409,2023-10-05,78.94,prod_arima
AT0000746409,2023-10-06,78.91,prod_arima
AT0000922554,2023-09-25,30.54,prod_arima
AT0000922554,2023-09-26,30.54,prod_arima
AT0000922554,2023-09-27,30.54,prod_arima
AT0000922554,2023-09-28,30.54,prod_arima
AT0000922554,2023-09-29,30.54,prod_arima
AT0000922554,2023-10-02,30.54,prod_arima
AT0000922554,2023-10-03,30.54,prod_arima
AT0000922554,2023-10-04,30.54,prod_arima
