Model,Target,Metric,Score
arima,Sign,Precision,0.4706
arima,Sign,Recall,0.5714
arima,Sign,F1,0.5161
arima,Sign,NPV,0.5588
arima,Return,MAE,0.0108
arima,Return,RMSE,0.0166
arima,Return,MASE,0.6015
arima,Return,RMSSE,0.6331
arima,Price,SMAPE,2.065
exponential_smoothing,Sign,Precision,0.5114
exponential_smoothing,Sign,Recall,0.6429
exponential_smoothing,Sign,F1,0.5696
exponential_smoothing,Sign,NPV,0.6154
exponential_smoothing,Return,MAE,0.0107
exponential_smoothing,Return,RMSE,0.0168
exponential_smoothing,Return,MASE,0.5977
exponential_smoothing,Return,RMSSE,0.64
exponential_smoothing,Price,SMAPE,1.9023
LGBMRegressor,Sign,Precision,0.4775
LGBMRegressor,Sign,Recall,0.7571
LGBMRegressor,Sign,F1,0.5856
LGBMRegressor,Sign,NPV,0.5952
LGBMRegressor,Return,MAE,0.011
LGBMRegressor,Return,RMSE,0.0172
LGBMRegressor,Return,MASE,0.6125
LGBMRegressor,Return,RMSSE,0.6565
LGBMRegressor,Price,SMAPE,2.2538
lstm,Sign,Precision,0.0
lstm,Sign,Recall,0.0
lstm,Sign,F1,0.0
lstm,Sign,NPV,0.5395
lstm,Return,MAE,0.0153
lstm,Return,RMSE,0.0198
lstm,Return,MASE,0.8516
lstm,Return,RMSSE,0.7543
lstm,Price,SMAPE,5.5626
moving_average,Sign,Precision,0.4828
moving_average,Sign,Recall,0.6
moving_average,Sign,F1,0.535
moving_average,Sign,NPV,0.5758
moving_average,Return,MAE,0.0108
moving_average,Return,RMSE,0.0169
moving_average,Return,MASE,0.6021
moving_average,Return,RMSSE,0.6425
moving_average,Price,SMAPE,2.0368
moving_average_recursive,Sign,Precision,0.4667
moving_average_recursive,Sign,Recall,0.6
moving_average_recursive,Sign,F1,0.525
moving_average_recursive,Sign,NPV,0.5556
moving_average_recursive,Return,MAE,0.0108
moving_average_recursive,Return,RMSE,0.0169
moving_average_recursive,Return,MASE,0.6027
moving_average_recursive,Return,RMSSE,0.6438
moving_average_recursive,Price,SMAPE,2.0721
prophet,Sign,Precision,0.5543
prophet,Sign,Recall,0.7286
prophet,Sign,F1,0.6296
prophet,Sign,NPV,0.6885
prophet,Return,MAE,0.012
prophet,Return,RMSE,0.0178
prophet,Return,MASE,0.6722
prophet,Return,RMSSE,0.6801
prophet,Price,SMAPE,3.0931
XGBRegressor,Sign,Precision,0.4598
XGBRegressor,Sign,Recall,0.5714
XGBRegressor,Sign,F1,0.5096
XGBRegressor,Sign,NPV,0.5455
XGBRegressor,Return,MAE,0.0118
XGBRegressor,Return,RMSE,0.0177
XGBRegressor,Return,MASE,0.6605
XGBRegressor,Return,RMSSE,0.6734
XGBRegressor,Price,SMAPE,2.2916
