Model,look_back_window_size,RMSE
arima,65,0.015797433227180795
arima,260,0.01656857668305008
arima,520,0.016604244700445067
arima,20,0.017293809133934208
exponential_smoothing,65,0.018283149461711147
exponential_smoothing,260,0.018854276710565037
exponential_smoothing,520,0.019631374471087905
exponential_smoothing,20,0.021220887802023473
LGBMRegressor,520,0.017036826299910383
LGBMRegressor,260,0.017095464755056845
LGBMRegressor,65,0.01849298759320143
LGBMRegressor,20,0.01999513038505365
lstm,520,0.42202220205554963
lstm,260,0.4229624383654687
lstm,20,0.42609396165542046
lstm,65,0.4279320526556974
moving_average,520,0.016068373540365232
moving_average,65,0.016697662388710375
moving_average,260,0.016896210557492755
moving_average,20,0.019792174185947052
moving_average_recursive,260,0.0179450454470559
moving_average_recursive,520,0.017950962582419194
moving_average_recursive,65,0.018826623021175163
moving_average_recursive,20,0.018941288427612824
prophet,520,0.01768497753777682
prophet,260,0.01810852909882914
prophet,65,0.4036143916455186
prophet,20,0.4397587816535009
XGBRegressor,520,0.01951950801110469
XGBRegressor,65,0.020401921450897628
XGBRegressor,260,0.022121523419381985
XGBRegressor,20,0.024383462941340174
