Model;LookBackWindowSize;SeasonalPeriod;MAE;RMSE;F1-Score
ARIMA(0,0,0)(0,0,0,sp);260;65;0.012751862782396579;0.016493166148648684;0.3606114477299144
ARIMA(0,0,0)(0,0,0,sp);260;22;0.013284778146830566;0.01708602664086199;0.3672731937319444
ARIMA(0,0,0)(0,0,0,sp);260;5;0.012740120122148828;0.016467071376196293;0.36762936566660837
ARIMA(0,0,0)(0,0,0,sp);260;130;0.012913309539236183;0.016755256037568077;0.3683962966857704
ARIMA(0,0,0)(0,0,0,sp);520;65;0.012670347016770023;0.0164725446026646;0.3708381390256276
ARIMA(0,0,0)(0,0,0,sp);520;22;0.012865056360801307;0.016697481803905397;0.37345279606570814
ARIMA(0,0,0)(0,0,0,sp);520;5;0.01284782867093002;0.016703622011321927;0.3744564485677216
ARIMA(0,0,0)(0,0,0,sp);260;0;0.012896004980254958;0.016604732748261387;0.37767289550935523
ARIMA(0,0,0)(0,0,0,sp);520;130;0.012553997779331404;0.01631531909636482;0.37802899436709303
ARIMA(0,0,0)(0,0,0,sp);1040;0;0.013079746861728565;0.016926763130889;0.3781112037863995
ARIMA(0,0,0)(0,0,0,sp);520;0;0.012564125029755025;0.01627142950656063;0.37900283163486587
ARIMA(0,0,0)(0,0,0,sp);2600;65;0.012450482007791419;0.016141735114081363;0.38548468407692593
ARIMA(0,0,0)(0,0,0,sp);1040;130;0.013285127649227561;0.017029011876392424;0.38849854328273564
ARIMA(0,0,0)(0,0,0,sp);1040;22;0.013347854232216258;0.01717767421850003;0.3931012915533039
ARIMA(0,0,0)(0,0,0,sp);2600;130;0.012424291374060195;0.016113403350239034;0.39398412651918385
ARIMA(0,0,0)(0,0,0,sp);1040;5;0.012847264700016322;0.016603012518056785;0.3965785379152708
ARIMA(0,0,0)(0,0,0,sp);1040;65;0.013471188307328987;0.017382147488460467;0.3972377020478459
ARIMA(0,0,0)(0,0,0,sp);2600;22;0.012314370088997027;0.015911253544734872;0.3985354873075689
ARIMA(0,0,0)(0,0,0,sp);2600;0;0.012590584289040248;0.016314927325613317;0.4008601515544695
ARIMA(0,0,0)(0,0,0,sp);2600;5;0.01261498941346989;0.016297943298539425;0.40538657259291017
