Model;LookBackWindowSize;SeasonalPeriod;MAE;RMSE;F1-Score
arima;1040;0;0.013438982835799673;0.01744399994149594;0.40190489107808364
arima;1040;5;0.013173327937522726;0.017002143801524212;0.4021046049601868
arima;2600;5;0.012865902322936627;0.016669499813599147;0.4025881164708336
arima;2600;0;0.012230428195738798;0.01582987868872287;0.4088824363883552
arima;2080;0;0.013597117337830448;0.017623396812476235;0.40891947264374867
arima;2080;5;0.014189625224406551;0.018283171402113153;0.41477254629868
arima;3900;5;0.012525849970940578;0.01634045850365236;0.4440117433306288
arima;3900;0;0.01255816173662722;0.016242419685396203;0.4473897729579755
arima;5200;5;0.014814792449306106;0.01920029265308939;0.5663818804275916
arima;5200;0;0.014206369632728397;0.01828039060318668;0.5677637818786971
