Model;LookBackWindowSize;MAE;F1-Score;Lags
LGBMRegressor;260;0.012377506673149501;0.4847696080617419;[1]
LGBMRegressor;780;0.012592778650659261;0.48697022783721294;[1]
LGBMRegressor;65;0.013931088174599175;0.50673751352194;[1]
LGBMRegressor;1300;0.013608219898337843;0.5169977611613321;[1]
LGBMRegressor;520;0.012944593800745675;0.5189103134848618;[1]
LGBMRegressor;65;0.013393033120328;0.4671613904958323;[1,5]
LGBMRegressor;260;0.01315760654108278;0.4918245986420697;[1,5]
LGBMRegressor;780;0.01342110749387699;0.5220513620131306;[1,5]
LGBMRegressor;520;0.014624669758153425;0.524176230449381;[1,5]
LGBMRegressor;1300;0.012454774315034738;0.558308000858007;[1,5]
LGBMRegressor;65;0.013972980557237424;0.4797781526587601;[1,5,10]
LGBMRegressor;260;0.013303561030450266;0.5044407754673069;[1,5,10]
LGBMRegressor;520;0.013864912798045614;0.5289555693188656;[1,5,10]
LGBMRegressor;780;0.011536137741287556;0.5405933464546049;[1,5,10]
LGBMRegressor;1300;0.013886473030792426;0.5511488188442144;[1,5,10]
LGBMRegressor;65;0.014502723289125661;0.483468725495313;transforms
LGBMRegressor;260;0.012964025037405015;0.49750699986832714;transforms
LGBMRegressor;780;0.01329488843937627;0.50363099475367;transforms
LGBMRegressor;520;0.012506985531466633;0.5112730419300151;transforms
LGBMRegressor;1300;0.01312275701232106;0.5270137799010237;transforms
LGBMRegressor;65;0.014730084931926775;0.462845306184414;[1,5,10,22]
LGBMRegressor;260;0.012804174477919221;0.4787101237558803;[1,5,10,22]
LGBMRegressor;520;0.013425071838284454;0.5031940211084571;[1,5,10,22]
LGBMRegressor;780;0.014727791747380346;0.5118817642272806;[1,5,10,22]
LGBMRegressor;1300;0.012287326082122003;0.5321150479862485;[1,5,10,22]
LGBMRegressor;260;0.013348380173499565;0.47678960993736974;[1,5,22]
LGBMRegressor;520;0.013890852597428555;0.47970500471827454;[1,5,22]
LGBMRegressor;65;0.013528376596119319;0.49759780344834964;[1,5,22]
LGBMRegressor;780;0.013406381490447664;0.525062159442053;[1,5,22]
LGBMRegressor;1300;0.013619307985438494;0.5492618690534337;[1,5,22]
LGBMRegressor;520;0.013758027833494562;0.47978141531934215;[5,10]
LGBMRegressor;65;0.014450112480308013;0.4799371334245274;[5,10]
LGBMRegressor;260;0.012529908061443835;0.4991995657136831;[5,10]
LGBMRegressor;780;0.014424696927731663;0.5122272051893157;[5,10]
LGBMRegressor;1300;0.014253776136768054;0.5473900905783617;[5,10]
LGBMRegressor;260;0.01539806999030697;0.4766780603958629;[5]
LGBMRegressor;520;0.013351148758268023;0.4827116258501834;[5]
LGBMRegressor;65;0.013184418475163256;0.49201359226391483;[5]
LGBMRegressor;780;0.0130314509839653;0.4967992160045138;[5]
LGBMRegressor;1300;0.013130709095807002;0.5013166636420052;[5]
