Model;LookBackWindowSize;MAE;F1-Score;Lags
XGBRegressor;65;0.015158069714455711;0.49377346148714474;[1,5]
XGBRegressor;260;0.01341900501397023;0.49730178765374644;[1,5]
XGBRegressor;520;0.013000119592344272;0.5098981913582223;[1,5]
XGBRegressor;1300;0.014301242309380376;0.5105699843851541;[1,5]
XGBRegressor;780;0.012335855568367169;0.5132914171184851;[1,5]
LGBMRegressor;260;0.01539806999030697;0.4766780603958629;[1,5,10]
LGBMRegressor;520;0.013351148758268023;0.4827116258501834;[1,5,10]
LGBMRegressor;65;0.013184418475163256;0.49201359226391483;[1,5,10]
LGBMRegressor;780;0.0130314509839653;0.4967992160045138;[1,5,10]
LGBMRegressor;1300;0.013130709095807002;0.5013166636420052;[1,5,10]
