p;d;q;P;D;Q;s;LookBackWindowSize;SeasonalPeriod
0;0;2;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
1;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
1;0;2;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
1;0;0;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;2;0;0;0;0;260;1
1;0;0;0;0;0;0;260;1
2;0;2;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
1;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
1;0;0;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
1;0;0;0;0;0;0;260;1
1;0;0;0;0;0;0;260;1
1;0;0;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
1;0;0;0;0;0;0;260;1
0;0;2;0;0;0;0;260;1
0;0;0;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
0;0;1;0;0;0;0;260;1
1;0;1;0;0;0;0;260;1
