Model;LookBackWindowSize;Estimators;RMSE;PredictiveScore
XGBRegressor;260;10;0.01941755056823555;0.4537833004050478
XGBRegressor;260;25;0.017881047522179196;0.4870261057103235
XGBRegressor;260;100;0.017493962361488587;0.4794518143958159
XGBRegressor;260;50;0.017577531638671873;0.4895048805112349
XGBRegressor;260;1;0.016797001211215662;0.5003608594797953
XGBRegressor;260;150;0.020869277209738666;0.4848307262467261
LGBMRegressor;260;1;0.017313910623326437;0.5265457523689484
LGBMRegressor;260;25;0.017860538498611304;0.4954401748793197
LGBMRegressor;260;150;0.01783048689377976;0.4764515005075227
LGBMRegressor;260;100;0.018305164207332227;0.48697884070249503
LGBMRegressor;260;50;0.01865460622819699;0.49628616881224924
LGBMRegressor;260;10;0.018999902240629647;0.4771444765635709
