Model;LookBackWindowSize;SeasonalPeriods;Method;RMSE;PredictiveScore
exponential_smoothing;260;0;L-BFGS-B;0.017766874390504298;0.5090717534552475
exponential_smoothing;520;0;L-BFGS-B;0.01809269877616851;0.5054805004250416
exponential_smoothing;1300;0;L-BFGS-B;0.01790001011255938;0.5117572104222762
exponential_smoothing;720;0;L-BFGS-B;0.02001170011577553;0.5029985361435497
exponential_smoothing;520;5;L-BFGS-B;0.016817061980646447;0.5061669613036897
exponential_smoothing;1300;5;L-BFGS-B;0.019897191688930352;0.49913168672241637
exponential_smoothing;260;5;L-BFGS-B;0.018879384103202654;0.51368696873865
exponential_smoothing;720;5;L-BFGS-B;0.018345536620495585;0.5101458932533265
exponential_smoothing;520;0;Powell;0.017556205941138003;0.5062292361980917
exponential_smoothing;1300;0;Powell;0.01760131513427118;0.5066518921278871
exponential_smoothing;260;0;Powell;0.016869315860155033;0.5064495506334209
exponential_smoothing;720;0;Powell;0.01748590343195991;0.5037044309096282
exponential_smoothing;260;5;Powell;0.018447706618687432;0.5227410996619418
exponential_smoothing;720;5;Powell;0.01810865937655167;0.49652065022357855
exponential_smoothing;520;5;Powell;0.016983208655373828;0.49927949424882867
exponential_smoothing;1300;5;Powell;0.020200836103015738;0.513490603444972
exponential_smoothing;720;0;SLSQP;0.01840803447976643;0.507674613478451
exponential_smoothing;520;0;SLSQP;0.016088789151112715;0.5144123139846343
exponential_smoothing;260;0;SLSQP;0.01734088338963681;0.49824410219251164
exponential_smoothing;1300;0;SLSQP;0.01845956996874076;0.496861031212022
exponential_smoothing;520;5;SLSQP;0.01771699319565191;0.5028814320360113
exponential_smoothing;720;5;SLSQP;0.019270817124089776;0.498182656163194
exponential_smoothing;260;5;SLSQP;0.018467893432690292;0.5006233748273151
exponential_smoothing;1300;5;SLSQP;0.01935967916219608;0.516826575958782
