Model;BatchSize;Epochs;LearningRate;LookBackWindowSize;MAE;RMSE;F1-Score
simple_regression_net;30;10;0.001;30;0.013789184279515794;0.018906777145390546;0.48952723912111706
simple_regression_net;30;10;0.001;25;0.014454919744058159;0.019103079046543545;0.5937053872847755
simple_regression_net;30;10;0.001;5;0.01418865424124791;0.01923306987216947;0.21069059041294125
simple_regression_net;30;20;0.001;30;0.01493972868672359;0.02010736508516489;0.5854387150492089
simple_regression_net;30;20;0.001;25;0.014166487436707792;0.01949015286380177;0.5174599663333894
simple_regression_net;30;20;0.001;5;0.013426838559691765;0.018245419061297733;0.4852644405148104
simple_regression_net;30;50;0.001;30;0.013255541584036735;0.018596286730522604;0.389509252586575
simple_regression_net;30;50;0.001;25;0.013092507961465525;0.018211159486111832;0.4766862147883602
simple_regression_net;30;50;0.001;5;0.014285244781285398;0.019751471892155363;0.4695859219049367
simple_regression_net;30;100;0.001;30;0.014254421131961782;0.01993067372329994;0.45272747291791987
simple_regression_net;30;100;0.001;25;0.012039413102486714;0.016926671901697703;0.5363992614286545
simple_regression_net;30;100;0.001;5;0.013914169212201453;0.019213071797679813;0.39341395326787093
