Model;BatchSize;Epochs;LearningRate;LookBackWindowSize;RMSE;PredictiveScore
simple_regression_net;100;5;0.001;5;0.01986662122856918;0.4997716262359097
simple_regression_net;100;10;0.001;5;0.017946997881526185;0.4975144171838242
simple_regression_net;100;20;0.001;5;0.019069551700461568;0.4700138097560157
simple_regression_net;100;50;0.001;5;0.019507843707342966;0.47227642214226806
simple_regression_net;100;5;0.001;260;0.018105297513928132;0.4742311660672342
simple_regression_net;100;10;0.001;260;0.018206830123145855;0.4871918040931627
simple_regression_net;100;20;0.001;260;0.019000751083691567;0.4784462498684773
simple_regression_net;100;50;0.001;260;0.018638172134837924;0.4841771345578383
simple_regression_net;100;10;0.001;5;0.01892178353156751;0.5116170699270923
simple_regression_net;100;10;0.001;10;0.01805221500580402;0.4981430809065184
simple_regression_net;100;10;0.001;25;0.019734806734521538;0.48631614398622725
simple_regression_net;100;10;0.001;65;0.017201676889953988;0.4807754958019791
simple_regression_net;100;10;0.001;260;0.01722992828428778;0.4843033486290784
simple_regression_net;100;20;0.001;5;0.018075722457885645;0.4968983576599482
simple_regression_net;100;20;0.001;10;0.018046878700059697;0.47474021214724027
simple_regression_net;100;20;0.001;25;0.01831376066925118;0.47994198082828665
simple_regression_net;100;20;0.001;65;0.01871011979248895;0.4818779572264102
simple_regression_net;100;20;0.001;260;0.017809153850046448;0.4839038294308369
simple_regression_net;100;50;0.001;5;0.01762679490899766;0.4870048018421147
simple_regression_net;100;50;0.001;10;0.01813827175788671;0.4708079845178975
simple_regression_net;100;50;0.001;25;0.01886271481851106;0.48277069298214437
simple_regression_net;100;50;0.001;65;0.016497460336344468;0.4911566733969024
simple_regression_net;100;50;0.001;260;0.018463485673343365;0.4794717442342087
simple_regression_net;100;5;0.001;5;0.01850775131847172;0.5025971244848484
simple_regression_net;100;5;0.001;10;0.016949873582518076;0.4887522499025706
simple_regression_net;100;5;0.001;25;0.020434421562200402;0.5040626863531921
simple_regression_net;100;5;0.001;65;0.01841533650067577;0.48580432737929996
simple_regression_net;100;5;0.001;260;0.018735580164940927;0.47964476639114145
simple_regression_net;100;2;0.001;5;0.019916521641678685;0.5088851937553299
simple_regression_net;100;2;0.001;10;0.020859890211953544;0.513893675180056
simple_regression_net;100;2;0.001;25;0.018370848015942486;0.49884041089229536
simple_regression_net;100;2;0.001;65;0.017603747219943053;0.4822030657218056
simple_regression_net;100;2;0.001;260;0.017674814851672892;0.47531839626120204
