Model;BatchSize;Epochs;LearningRate;LookBackWindowSize;MAE;RMSE;F1-Score
simple_regression_net;32;5;0.001;780;0.013909142673760762;0.01917827485882839;0.5176111513717929
simple_regression_net;32;5;0.001;520;0.013501031792385453;0.01868004037275185;0.4818882003443582
simple_regression_net;32;5;0.001;260;0.013853735731136033;0.019240111476071894;0.4267668122676952
simple_regression_net;32;5;0.001;65;0.013016800607103876;0.01807704535934783;0.44998280390615425
simple_regression_net;32;5;0.001;30;0.012725820615126228;0.017742260415163816;0.4605986411301222
simple_regression_net;32;5;0.001;25;0.013267849615793465;0.018533695762338865;0.5187074452911644
simple_regression_net;32;5;0.001;22;0.012964734047978503;0.018306869814158883;0.4501653880171941
simple_regression_net;32;5;0.001;20;0.013395497164491175;0.018812971546702625;0.43511632740469286
simple_regression_net;32;5;0.001;15;0.013600804340595452;0.01876679271952879;0.37790269571962865
simple_regression_net;32;5;0.001;10;0.014482669672905424;0.019834985275814745;0.3493381173593775
simple_regression_net;32;5;0.001;5;0.014741739099453404;0.020283943160685526;0.4310382831830508
simple_regression_net;32;10;0.001;780;0.014403743321892199;0.019866311140316034;0.48851625999861814
simple_regression_net;32;10;0.001;520;0.013291807014755085;0.018124531409118867;0.4779266197927838
simple_regression_net;32;10;0.001;260;0.014294541478015422;0.019727917942647125;0.3685415813574073
simple_regression_net;32;10;0.001;65;0.01442233280621287;0.019984824195113386;0.453621280921993
simple_regression_net;32;10;0.001;30;0.013826011030563688;0.018679203989292424;0.555182956379284
simple_regression_net;32;10;0.001;25;0.013083989326370359;0.01815311517155031;0.5636208216218445
simple_regression_net;32;10;0.001;22;0.01387990427214003;0.019421135460957268;0.4362469799536743
simple_regression_net;32;10;0.001;20;0.013206872652406339;0.018428575654233746;0.4164608930601914
simple_regression_net;32;10;0.001;15;0.012812382943999064;0.017621314194245615;0.42559706110983087
simple_regression_net;32;10;0.001;10;0.01379321243994584;0.01904420885967105;0.3538854839112551
simple_regression_net;32;10;0.001;5;0.013434715523582753;0.018120593794525554;0.5595502037816265
